display  D   display_settings.c:202  debug_display_settings           [   0.08176] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08180] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.08182] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08186] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.08188] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08192] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.08194] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08201] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08204] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08208] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08211] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08215] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08218] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08222] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08225] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08229] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08232] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08236] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.08240] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08243] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.08244] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08247] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.08248] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08250] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.08252] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08254] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08256] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08258] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08259] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08261] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08263] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08266] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08269] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08273] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08276] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08280] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.08283] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08287] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.08290] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08293] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.08295] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08297] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.08298] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08301] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08302] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08304] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08307] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08309] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08310] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08313] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08314] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08316] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08318] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08320] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.08321] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08324] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.08325] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08327] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.08329] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08331] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.08332] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08334] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08336] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08338] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08340] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08342] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08344] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08347] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08348] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08350] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08352] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08357] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.08359] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08361] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.08362] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08365] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.08366] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08368] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.08370] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08372] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08373] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08376] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08378] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08380] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08382] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08384] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08386] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
